序号,分层,易投指数0-5,期刊全称,ISO缩写,ISSN,eISSN,2025 JIF,5年JIF,最佳JIF分区,JIF排名(主表),最佳JCI分区,主表JCI分区,JCI,最高JIF百分位,年发文量,总被引,医学相关学科,学科及分区明细,出版商,出版商分组,是否SCIE,Web of Science版本,常见OA模式,版面费参考(须官网核实),OA付费可能性,版面费查询入口,AIM作者须知检索
1,2-Q1且IF小于10,5,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,INT J MOL SCI,1661-6596,1422-0067,5.6,6.3,Q1,72/328,Q2,Q2,0.68,78.2,8795.0,565688.0,BIOCHEMISTRY & MOLECULAR BIOLOGY,BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q1/JCI Q2),MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=INTERNATIONAL+JOURNAL+OF+MOLECULAR+SCIENCES+aims+scope+instructions+for+authors+APC
2,2-Q1且IF小于10,5,International Journal of Biological Macromolecules,INT J BIOL MACROMOL,0141-8130,1879-0003,8.7,8.7,Q1,6/96,Q1,Q1,1.45,89.8,8384.0,294329.0,BIOCHEMISTRY & MOLECULAR BIOLOGY,BIOCHEMISTRY & MOLECULAR BIOLOGY(JIF Q1/JCI Q1),ELSEVIER,Elsevier,是,SCIE,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,https://www.google.com/search?q=International+Journal+of+Biological+Macromolecules+aims+scope+instructions+for+authors+APC
3,2-Q1且IF小于10,5,Journal of Clinical Medicine,J CLIN MED,,2077-0383,3.3,3.5,Q1,67/336,Q1,Q1,0.86,80.2,6640.0,132600.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q1/JCI Q1)",MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Journal+of+Clinical+Medicine+aims+scope+instructions+for+authors+APC
4,2-Q1且IF小于10,5,Frontiers in Public Health,FRONT PUBLIC HEALTH,,2296-2565,4.1,4.3,Q1,75/443,Q1,Q1,1.1,83.2,4629.0,83487.0,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(JIF Q1/JCI Q1)",FRONTIERS MEDIA SA,Frontiers,是,"SCIE, SSCI",全OA,"约 CHF 1,495-3,150（Frontiers in Medicine A类=CHF 3,150）",高,https://www.frontiersin.org/about/fee-policy,https://www.google.com/search?q=Frontiers+in+Public+Health+aims+scope+instructions+for+authors+APC
5,2-Q1且IF小于10,5,Frontiers in Immunology,FRONT IMMUNOL,1664-3224,1664-3224,7.0,7.4,Q1,29/183,Q1,Q1,1.06,84.4,4585.0,284485.0,IMMUNOLOGY,IMMUNOLOGY(JIF Q1/JCI Q1),FRONTIERS MEDIA SA,Frontiers,是,SCIE,全OA,"约 CHF 1,495-3,150（Frontiers in Medicine A类=CHF 3,150）",高,https://www.frontiersin.org/about/fee-policy,https://www.google.com/search?q=Frontiers+in+Immunology+aims+scope+instructions+for+authors+APC
6,2-Q1且IF小于10,5,BMC PUBLIC HEALTH,BMC PUBLIC HEALTH,,1471-2458,4.4,4.8,Q1,60/443,Q1,Q1,1.33,86.6,4487.0,110078.0,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(JIF Q1/JCI Q1)",BMC,BMC,是,SCIE,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,https://www.google.com/search?q=BMC+PUBLIC+HEALTH+aims+scope+instructions+for+authors+APC
7,2-Q1且IF小于10,5,Frontiers in Medicine,FRONT MED-LAUSANNE,,2296-858X,3.6,3.7,Q1,64/336,Q1,Q1,0.83,81.1,3733.0,54614.0,"MEDICINE, GENERAL & INTERNAL","MEDICINE, GENERAL & INTERNAL(JIF Q1/JCI Q1)",FRONTIERS MEDIA SA,Frontiers,是,SCIE,全OA,"约 CHF 1,495-3,150（Frontiers in Medicine A类=CHF 3,150）",高,https://www.frontiersin.org/about/fee-policy,https://www.google.com/search?q=Frontiers+in+Medicine+aims+scope+instructions+for+authors+APC
8,2-Q1且IF小于10,5,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,P NATL ACAD SCI USA,0027-8424,1091-6490,9.5,10.6,Q1,14/140,Q1,Q1,2.15,90.4,3701.0,766549.0,MULTIDISCIPLINARY SCIENCES,MULTIDISCIPLINARY SCIENCES(JIF Q1/JCI Q1),NATL ACAD SCIENCES,其他,是,SCIE,需核实,请查期刊官网 Author / Open Access 页面,未知,,https://www.google.com/search?q=PROCEEDINGS+OF+THE+NATIONAL+ACADEMY+OF+SCIENCES+OF+THE+UNITED+STATES+OF+AMERICA+aims+scope+instructions+for+authors+APC
9,2-Q1且IF小于10,5,Nutrients,NUTRIENTS,,2072-6643,5.8,6.5,Q1,19/114,Q1,Q1,0.95,83.8,2905.0,207048.0,NUTRITION & DIETETICS,NUTRITION & DIETETICS(JIF Q1/JCI Q1),MDPI,MDPI,是,SCIE,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Nutrients+aims+scope+instructions+for+authors+APC
10,2-Q1且IF小于10,5,Healthcare,HEALTHCARE-BASEL,,2227-9032,3.4,3.3,Q1,23/125,Q2,Q2,0.9,82.0,2746.0,38753.0,HEALTH CARE SCIENCES & SERVICES; HEALTH POLICY & SERVICES,HEALTH CARE SCIENCES & SERVICES(JIF Q2/JCI Q2) | HEALTH POLICY & SERVICES(JIF Q1/JCI Q2),MDPI,MDPI,是,SCIE; SSCI,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,https://www.google.com/search?q=Healthcare+aims+scope+instructions+for+authors+APC
